Process,Ecosystem Service,Rating,Justification
Aquaculture,Buffering and attenuation of mass flows,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Aquaculture,Climate regulation,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Aquaculture,Dilution by atmosphere and ecosystems,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service

"
Aquaculture,Disease control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Aquaculture,Fibres and other materials,VH,"Ecosystem service is critical and irreplaceable in production process. Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Aquaculture,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Aquaculture,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Aquaculture,Genetic materials,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Aquaculture,Ground water,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Aquaculture,Maintain nursery habitats,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Aquaculture,Mass stabilisation and erosion control,H,Ecosystem service is critical and irreplaceable in production process 
Aquaculture,Pest control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Aquaculture,Soil quality,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Aquaculture,Surface water,M,Most of the time the production process can take place even with full disruption of the ecosystem service 
Aquaculture,Ventilation,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Aquaculture,Water flow maintenance,H,Ecosystem service is critical and irreplaceable in production process
Aquaculture,Water quality,H,"Ecosystem service is critical and irreplaceable in production process. Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes service this a high risk
"
Biomass energy production,Bio-remediation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Biomass energy production,Climate regulation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Biomass energy production,Fibres and other materials,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Biomass energy production,Filtration,VL,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Biomass energy production,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Biomass energy production,Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Biomass energy production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Biomass energy production,Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Biomass energy production,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Biomass energy production,Water quality,L,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Cable and satellite installations on land,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Cable and satellite installations on land,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Cable and satellite installations on land,Soil quality,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service 
"Catalytic cracking, fractional distillation and crystallization",Bio-remediation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
"Catalytic cracking, fractional distillation and crystallization",Climate regulation,L,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
"Catalytic cracking, fractional distillation and crystallization",Filtration,VL,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
"Catalytic cracking, fractional distillation and crystallization",Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
"Catalytic cracking, fractional distillation and crystallization",Ground water,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
"Catalytic cracking, fractional distillation and crystallization",Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
"Catalytic cracking, fractional distillation and crystallization",Mediation of sensory impacts,L,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
"Catalytic cracking, fractional distillation and crystallization",Surface water,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
"Catalytic cracking, fractional distillation and crystallization",Ventilation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
"Catalytic cracking, fractional distillation and crystallization",Water flow maintenance,L,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
"Catalytic cracking, fractional distillation and crystallization",Water quality,L,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Commercial printing,Bio-remediation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Commercial printing,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Construction,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Construction,Climate regulation,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Construction,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Construction,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Construction,Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Construction,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Construction,Mediation of sensory impacts,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Construction,Pest control,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Construction,Soil quality,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Construction,Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Construction,Ventilation,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Construction,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Construction materials production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Construction materials production,Ground water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Construction materials production,Mediation of sensory impacts,L,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Construction materials production,Surface water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Construction materials production,Water quality,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Cruise line provision,Climate regulation,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Cruise line provision,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Cruise line provision,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Cruise line provision,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Cruise line provision,Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Cruise line provision,Water quality,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Cryogenic air separation,Bio-remediation,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Cryogenic air separation,Climate regulation,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Cryogenic air separation,Dilution by atmosphere and ecosystems,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Cryogenic air separation,Filtration,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Cryogenic air separation,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Cryogenic air separation,Ground water,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Cryogenic air separation,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Cryogenic air separation,Mediation of sensory impacts,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Cryogenic air separation,Surface water,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Cryogenic air separation,Ventilation,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Cryogenic air separation,Water flow maintenance,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Cryogenic air separation,Water quality,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Data processing and outsourced services,Bio-remediation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Data processing and outsourced services,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Distribution,Climate regulation,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Distribution,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Distribution,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Electric/nuclear power transmission and distribution,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Electric/nuclear power transmission and distribution,Flood and storm protection,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Electric/nuclear power transmission and distribution,Mass stabilisation and erosion control,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Electronics and hardware production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Electronics and hardware production,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Electronics and hardware production,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Environmental and facilities services,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Environmental and facilities services,Ground water,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Environmental and facilities services,Surface water,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Fibre-optic cable installation (marine),Buffering and attenuation of mass flows,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Fibre-optic cable installation (marine),Climate regulation,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Fibre-optic cable installation (marine),Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Fibre-optic cable installation (marine),Water quality,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Financial services,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Footwear production,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Footwear production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Footwear production,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Footwear production,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Footwear production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Footwear production,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Footwear production,Water quality,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Freshwater wild-caught fish,Buffering and attenuation of mass flows,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Freshwater wild-caught fish,Climate regulation,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Freshwater wild-caught fish,Dilution by atmosphere and ecosystems,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Freshwater wild-caught fish,Disease control,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Freshwater wild-caught fish,Genetic materials,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Freshwater wild-caught fish,Maintain nursery habitats,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Freshwater wild-caught fish,Mass stabilisation and erosion control,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Freshwater wild-caught fish,Pest control,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Freshwater wild-caught fish,Soil quality,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Freshwater wild-caught fish,Surface water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Freshwater wild-caught fish,Ventilation,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Freshwater wild-caught fish,Water quality,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Gas adsorption,Bio-remediation,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Gas adsorption,Climate regulation,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Gas adsorption,Dilution by atmosphere and ecosystems,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Gas adsorption,Filtration,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Gas adsorption,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Gas adsorption,Ground water,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Gas adsorption,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Gas adsorption,Mediation of sensory impacts,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Gas adsorption,Surface water,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Gas adsorption,Ventilation,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Gas adsorption,Water flow maintenance,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Gas adsorption,Water quality,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Gas distribution,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Gas distribution,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Gas distribution,Mass stabilisation and erosion control,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Gas retail,Climate regulation,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Gas retail,Filtration,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Gas retail,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Gas retail,Water flow maintenance,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Gas retail,Water quality,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Geothermal energy production,Bio-remediation,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Geothermal energy production,Climate regulation,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Geothermal energy production,Filtration,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Geothermal energy production,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Geothermal energy production,Ground water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Geothermal energy production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Geothermal energy production,Surface water,M,"High temperature geothermal energy is the predominant commercially produced form of geothermal energy and is not heavily reliant on surface water. However, low temperature geothermal is typically reliant on significant quantities service of surface water and could not function with it."
Geothermal energy production,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Geothermal energy production,Water quality,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Glass making,Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Glass making,Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Glass making,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Health care equipment production,Climate regulation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Health care equipment production,Dilution by atmosphere and ecosystems,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Health care equipment production,Fibres and other materials,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Health care equipment production,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Health care equipment production,Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Hotels and resorts provision,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Hotels and resorts provision,Fibres and other materials,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Hotels and resorts provision,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Hotels and resorts provision,Ground water,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Hotels and resorts provision,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Hotels and resorts provision,Surface water,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Hotels and resorts provision,Water quality,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Houseware and specialities production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Houseware and specialities production,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Houseware and specialities production,Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Hydropower production,Bio-remediation,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Hydropower production,Climate regulation,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Hydropower production,Filtration,VL,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Hydropower production,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Hydropower production,Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Hydropower production,Mass stabilisation and erosion control,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Hydropower production,Surface water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Hydropower production,Water flow maintenance,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Hydropower production,Water quality,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Incomplete combustion,Climate regulation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Incomplete combustion,Ground water,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Incomplete combustion,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Incomplete combustion,Surface water,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Incomplete combustion,Ventilation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Infrastructure builds,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Infrastructure holdings,Bio-remediation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Infrastructure holdings,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Infrastructure maintenance contracts,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Infrastructure maintenance contracts,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Infrastructure maintenance contracts,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Infrastructure maintenance contracts,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Infrastructure maintenance contracts,Mediation of sensory impacts,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Infrastructure maintenance contracts,Pest control,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Infrastructure maintenance contracts,Soil quality,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Infrastructure maintenance contracts,Ventilation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Infrastructure maintenance contracts,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Integrated oil and gas,Bio-remediation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Integrated oil and gas,Climate regulation,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Integrated oil and gas,Filtration,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Integrated oil and gas,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Integrated oil and gas,Ground water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Integrated oil and gas,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Integrated oil and gas,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Integrated oil and gas,Water quality,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Internet services,Bio-remediation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Internet services,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Iron extraction,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Iron extraction,Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Iron extraction,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Iron extraction,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Iron extraction,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Iron metal production,Climate regulation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Iron metal production,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Iron metal production,Mass stabilisation and erosion control,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Iron metal production,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Iron metal production,Water flow maintenance,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Jewellery production,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Jewellery production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Jewellery production,Fibres and other materials,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service

 Although less practical, production process can take place without the ecosystem service due to availability of substitutes
"
Jewellery production,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Jewellery production,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Jewellery production,Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Jewellery production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Jewellery production,Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Jewellery production,Water flow maintenance,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Jewellery production,Water quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale forestry,Animal-based energy,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale forestry,Bio-remediation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Large-scale forestry,Climate regulation,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale forestry,Disease control,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale forestry,Fibres and other materials,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale forestry,Filtration,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale forestry,Flood and storm protection,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale forestry,Ground water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale forestry,Mass stabilisation and erosion control,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
